defect_id,asset_id,section_id,defect_type,severity,detected_date,status,overdue_days
DEF-00001,AST-TRA-0001,SEC-DDU-PNBE,InsulatorFlashover,2,2026-01-29,OPEN,1
DEF-00002,AST-ENG-0013,SEC-BCT-ST,TrackAlignmentDeviation,1,2026-02-24,OPEN,0
DEF-00003,AST-ENG-0020,SEC-HWH-KGP,RailFractureRisk,1,2026-02-14,IN_PROGRESS,0
DEF-00004,AST-TRA-0032,SEC-HWH-KGP,OHE_Sag,5,2026-02-23,OPEN,3
DEF-00005,AST-ENG-0050,SEC-BCT-ST,RailFractureRisk,1,2026-02-24,OPEN,0
DEF-00006,AST-ENG-0050,SEC-BCT-ST,RailFractureRisk,1,2026-02-27,OPEN,0
DEF-00007,AST-ENG-0051,SEC-CNB-PRYJ,GaugeWideness,1,2026-02-14,OPEN,0
DEF-00008,AST-ENG-0066,SEC-CNB-PRYJ,RailFractureRisk,1,2026-02-24,OPEN,0
DEF-00009,AST-S_A-0080,SEC-DDU-PNBE,AxleCounterResetFault,3,2026-02-14,OPEN,1
DEF-00010,AST-S_A-0080,SEC-DDU-PNBE,RelayContactWear,4,2026-01-16,OPEN,37
DEF-00011,AST-TRA-0081,SEC-PRYJ-DDU,ContactWireExcessWear,3,2026-02-27,OPEN,0
DEF-00012,AST-S_A-0087,SEC-BCT-ST,RelayContactWear,1,2026-02-24,OPEN,0
DEF-00013,AST-TRA-0088,SEC-NDLS-GZB,MastCorrosion,4,2026-01-28,OPEN,25
DEF-00014,AST-ENG-0097,SEC-BCT-ST,SleeperCrack,1,2026-02-12,OPEN,0
DEF-00015,AST-ENG-0111,SEC-CNB-PRYJ,GaugeWideness,1,2026-02-27,OPEN,0
DEF-00016,AST-S_A-0128,SEC-DDU-PNBE,PointDetectionFailure,2,2026-02-21,OPEN,0
DEF-00017,AST-S_A-0128,SEC-DDU-PNBE,TrackCircuitFalseOccupancy,3,2026-02-28,OPEN,0
DEF-00018,AST-ENG-0143,SEC-GZB-CNB,GaugeWideness,2,2026-01-19,OPEN,11
DEF-00019,AST-S_A-0147,SEC-ST-BRC,AxleCounterResetFault,3,2026-02-05,OPEN,10
DEF-00020,AST-S_A-0147,SEC-ST-BRC,PointDetectionFailure,2,2026-01-21,OPEN,9
DEF-00021,AST-ENG-0155,SEC-GZB-CNB,BallastDeficiency,2,2026-02-18,OPEN,0
DEF-00022,AST-TRA-0156,SEC-BCT-ST,ContactWireExcessWear,1,2026-01-22,OPEN,0
DEF-00023,AST-TRA-0156,SEC-BCT-ST,OHE_Sag,1,2026-02-11,OPEN,0
DEF-00024,AST-TRA-0169,SEC-PRYJ-DDU,ContactWireExcessWear,1,2026-02-17,OPEN,0
DEF-00025,AST-ENG-0179,SEC-ST-BRC,RailFractureRisk,2,2026-01-16,OPEN,14
DEF-00026,AST-S_A-0182,SEC-PRYJ-DDU,SignalLampBurnout,2,2026-02-09,OPEN,0
DEF-00027,AST-S_A-0182,SEC-PRYJ-DDU,SignalLampBurnout,2,2026-02-16,OPEN,0
DEF-00028,AST-ENG-0205,SEC-CNB-PRYJ,TrackAlignmentDeviation,2,2026-02-03,IN_PROGRESS,0
DEF-00029,AST-ENG-0215,SEC-MAS-RU,GaugeWideness,2,2026-01-28,OPEN,2
DEF-00030,AST-S_A-0240,SEC-MAS-RU,PointDetectionFailure,2,2026-02-08,OPEN,0
DEF-00031,AST-S_A-0285,SEC-DDU-PNBE,TrackCircuitFalseOccupancy,1,2026-01-25,OPEN,0
DEF-00032,AST-S_A-0285,SEC-DDU-PNBE,SignalLampBurnout,2,2026-01-19,OPEN,11
DEF-00033,AST-ENG-0294,SEC-HWH-KGP,SleeperCrack,3,2026-01-21,OPEN,25
DEF-00034,AST-ENG-0294,SEC-HWH-KGP,TrackAlignmentDeviation,1,2026-01-18,OPEN,0
DEF-00035,AST-ENG-0294,SEC-HWH-KGP,TrackAlignmentDeviation,2,2026-02-23,OPEN,0
DEF-00036,AST-ENG-0296,SEC-NDLS-GZB,TrackAlignmentDeviation,1,2026-02-18,OPEN,0
